employee_id,designation,no_of_trainings,length_of_service,avg_training_score,is_promoted
65438,Sales & Marketing,1,8,49.0,0
65141,Operations,1,4,60.0,0
7513,Sales & Marketing,1,7,50.0,0
2542,Sales & Marketing,2,10,50.0,0
48945,Technology,1,2,73.0,0
58896,Analytics,2,7,85.0,0
20379,Operations,1,5,59.0,0
16290,Operations,1,6,63.0,0
73202,Analytics,1,5,83.0,0
28911,Sales & Marketing,1,5,54.0,0
29934,Technology,1,1,77.0,0
49017,Sales & Marketing,1,3,50.0,1
60051,Sales & Marketing,1,5,49.0,0
38401,Technology,2,16,80.0,0
77040,R&D,1,7,84.0,0
43931,Operations,1,10,60.0,0
7152,Technology,1,5,77.0,0
9403,Sales & Marketing,1,4,51.0,0
17436,Sales & Marketing,1,8,46.0,0
54461,Operations,1,9,59.0,0
12067,Procurement,1,7,75.0,0
33332,Operations,1,11,57.0,0
58789,Finance,1,4,63.0,0
71177,Procurement,1,1,70.0,0
52057,Finance,2,7,59.0,0
26585,Technology,1,3,83.0,0
37749,Procurement,1,4,68.0,0
2370,Technology,1,4,79.0,0
8219,Analytics,1,3,80.0,0
74759,Sales & Marketing,1,1,44.0,0
27395,Procurement,1,10,72.0,0
58536,Finance,2,2,,0
35465,Sales & Marketing,1,2,48.0,0
51756,Operations,2,6,58.0,0
57011,Analytics,2,3,87.0,0
77064,Sales & Marketing,1,4,47.0,0
64062,Technology,1,4,75.0,0
47123,Sales & Marketing,1,3,47.0,0
56275,Sales & Marketing,1,5,51.0,0
58304,Sales & Marketing,1,6,51.0,1
25014,Technology,1,10,80.0,0
40097,Operations,2,2,57.0,0
23560,HR,1,26,52.0,0
17423,Sales & Marketing,3,2,48.0,0
61758,Analytics,1,12,88.0,0
75009,Procurement,1,11,71.0,0
17876,Procurement,1,4,71.0,0
36924,Technology,1,11,80.0,0
50408,Sales & Marketing,1,3,49.0,0
18013,Procurement,1,12,73.0,0
24104,Finance,1,2,60.0,0
32083,Sales & Marketing,1,8,48.0,0
38330,Procurement,1,12,65.0,0
33690,HR,1,6,50.0,0
73161,Operations,1,5,62.0,0
13596,Analytics,2,2,85.0,0
45709,Sales & Marketing,1,1,49.0,0
32709,R&D,1,5,84.0,0
26599,Sales & Marketing,2,1,47.0,0
32656,Sales & Marketing,1,7,52.0,0
17673,Sales & Marketing,1,17,47.0,1
3113,Sales & Marketing,1,3,53.0,0
9150,Analytics,1,1,80.0,0
14107,Sales & Marketing,1,2,52.0,0
58747,R&D,1,5,87.0,0
3342,Operations,1,3,58.0,0
77981,Finance,1,1,58.0,1
16502,Sales & Marketing,1,1,,1
73729,Procurement,1,6,75.0,0
45624,Analytics,1,7,84.0,1
75677,Operations,1,5,59.0,0
24040,Technology,1,7,78.0,1
68082,Sales & Marketing,1,12,52.0,0
51786,Sales & Marketing,1,6,44.0,0
77577,Sales & Marketing,1,14,52.0,0
54782,Sales & Marketing,1,2,49.0,1
52368,Sales & Marketing,2,5,51.0,0
75103,Sales & Marketing,1,3,53.0,0
7520,Analytics,1,2,91.0,0
59147,Sales & Marketing,1,3,58.0,1
53092,Technology,1,7,79.0,0
34564,Operations,1,7,53.0,0
66013,Sales & Marketing,2,2,53.0,0
77135,R&D,1,8,82.0,0
44575,Legal,1,1,65.0,1
47498,Operations,1,11,60.0,1
20798,HR,1,6,52.0,0
69094,Sales & Marketing,1,9,49.0,0
22261,Procurement,1,3,69.0,1
